iter	Passed	Remaining
174	341	1610
175	342	1602
176	343	1595
177	343	1587
178	344	1580
179	345	1573
180	346	1565
181	346	1558
182	347	1551
183	348	1544
184	348	1537
185	349	1530
186	350	1524
187	351	1517
188	351	1510
189	352	1503
190	353	1496
191	354	1490
192	354	1483
193	355	1477
194	356	1471
195	357	1465
196	357	1458
197	358	1452
198	359	1446
199	360	1440
200	360	1434
201	361	1429
202	362	1423
203	363	1418
204	364	1412
205	365	1406
206	365	1401
207	366	1395
208	367	1390
209	368	1384
210	368	1379
211	369	1374
212	370	1369
213	371	1363
214	372	1358
215	372	1353
216	373	1348
217	374	1343
218	375	1338
219	376	1333
220	377	1328
221	377	1324
222	378	1319
223	379	1314
224	380	1310
225	381	1305
226	382	1300
227	382	1296
228	383	1292
229	384	1287
230	385	1283
231	386	1279
232	387	1274
233	387	1269
234	388	1265
235	389	1261
236	390	1257
237	391	1252
238	391	1248
239	392	1244
240	393	1239
241	394	1235
242	395	1231
243	396	1226
244	396	1222
245	397	1218
246	398	1214
247	399	1210
248	400	1206
249	400	1202
250	401	1198
251	402	1194
252	403	1190
253	404	1186
254	404	1182
255	405	1178
256	406	1174
257	407	1171
258	408	1167
259	408	1163
260	409	1159
261	410	1155
262	411	1151
263	411	1147
264	412	1143
265	413	1140
266	414	1136
267	414	1132
268	415	1129
269	416	1126
270	417	1123
271	418	1119
272	419	1116
273	419	1112
274	420	1109
275	421	1105
276	422	1101
277	422	1098
278	423	1094
279	424	1091
280	425	1087
281	425	1084
282	426	1081
283	427	1077
284	428	1074
285	428	1070
286	429	1067
287	430	1063
288	431	1060
289	431	1057
290	432	1053
291	433	1050
292	433	1046
293	434	1043
294	435	1040
295	436	1037
296	436	1034
297	437	1031
298	438	1028
299	439	1025
300	440	1021
301	440	1018
302	441	1015
303	442	1012
304	443	1009
305	443	1006
306	444	1003
307	445	1000
308	445	997
309	446	994
310	447	991
311	448	988
312	448	985
313	449	982
314	450	979
315	451	976
316	452	974
317	453	971
318	453	969
319	454	966
320	455	963
321	456	960
322	457	957
323	457	955
324	458	952
325	459	949
326	460	946
327	460	944
328	461	941
329	462	938
330	462	935
331	463	933
332	464	930
333	465	927
334	466	925
335	466	922
336	467	920
337	468	917
338	469	915
339	470	912
340	470	910
341	471	907
342	472	904
343	473	902
344	473	899
345	474	897
346	475	895
347	476	892
348	477	890
349	478	888
350	478	885
351	479	883
352	480	881
353	481	878
354	482	876
355	483	874
356	484	872
357	485	870
358	486	868
359	487	865
360	488	864
361	489	862
362	490	859
363	490	857
364	491	855
365	492	853
366	493	851
367	494	849
368	495	847
369	496	845
370	497	842
371	497	840
372	498	838
373	499	836
374	500	833
375	501	831
376	501	829
377	502	826
378	503	824
379	504	822
380	504	820
381	505	817
382	506	815
383	507	813
384	507	811
385	508	809
386	509	806
387	510	804
388	511	802
389	511	800
390	512	798
391	513	796
392	514	794
393	515	792
394	516	790
395	516	788
396	517	786
397	518	784
398	519	782
399	520	780
400	521	778
401	521	776
402	523	774
403	523	772
404	524	770
405	525	768
406	526	766
407	527	764
408	527	762
409	528	760
410	529	758
411	530	756
412	530	754
413	531	752
414	532	750
415	533	748
416	533	746
417	534	744
418	535	742
419	536	740
420	537	738
421	538	737
422	539	735
423	539	733
424	540	731
425	541	729
426	542	728
427	543	726
428	544	724
429	545	722
430	546	720
431	546	719
432	547	717
433	548	715
434	549	713
435	550	711
436	551	710
437	552	709
438	553	707
439	554	705
440	555	704
441	556	702
442	557	701
443	558	699
444	559	697
445	560	695
446	561	694
447	562	692
448	562	690
449	563	689
450	564	687
451	565	685
452	566	684
453	567	682
454	568	681
455	569	679
456	570	677
457	571	676
458	572	674
459	573	672
460	574	671
461	574	669
462	575	667
463	576	665
464	577	664
465	577	662
466	578	660
467	579	658
468	580	657
469	580	655
470	581	653
471	582	651
472	583	649
473	584	648
474	585	646
475	586	645
476	586	643
477	587	641
478	588	639
479	589	638
